Date,Price
2022-01-01,1946.0434713383065
2022-01-02,2023.3837754324013
2022-01-03,1989.5904911594425
2022-01-04,2062.3404226153843
2022-01-05,2031.4817585503818
2022-01-06,2069.3840088999546
2022-01-07,2064.1604724691033
2022-01-08,1914.4310108815316
2022-01-09,2004.707032580002
2022-01-10,2147.9066307386947
2022-01-11,1986.755736829966
2022-01-12,2020.12864468681
2022-01-13,2159.7029971228694
2022-01-14,2135.529475887996
2022-01-15,2123.015768585578
2022-01-16,2012.2560578253735
2022-01-17,2111.2444126626
2022-01-18,2101.00615627474
2022-01-19,2125.0850111914606
2022-01-20,2081.5414166485325
2022-01-21,2166.214550510603
2022-01-22,2031.854953931199
2022-01-23,2077.2504074660155
2022-01-24,2068.0268894716455
2022-01-25,2028.2935413149833
2022-01-26,2055.0461419818384
2022-01-27,2025.4432366222577
2022-01-28,2144.218863930749
2022-01-29,2148.121350435286
2022-01-30,2037.6854091088042
2022-01-31,2236.5814896053466
2022-02-01,2137.8283149744843
2022-02-02,2161.4367132353595
2022-02-03,2183.042044171639
2022-02-04,2112.1935622746955
2022-02-05,2165.7512769353953
2022-02-06,2120.2416289179014
2022-02-07,2207.8826332376434
2022-02-08,2260.9731828008357
2022-02-09,2228.7508145509682
2022-02-10,2155.417159953963
2022-02-11,2147.747996795173
2022-02-12,2229.0273384142115
2022-02-13,2234.3799051601427
2022-02-14,2163.3587569837728
2022-02-15,2165.8817388688444
2022-02-16,2279.775536178459
2022-02-17,2285.146067671826
2022-02-18,2262.0456112710403
2022-02-19,2227.0965349703183
2022-02-20,2195.358080220716
2022-02-21,2294.49076289557
2022-02-22,2248.852848976542
2022-02-23,2216.8858959964036
2022-02-24,2235.980526436251
2022-02-25,2249.2459828453825
2022-02-26,2258.8998256044338
2022-02-27,2277.7385437345397
2022-02-28,2334.7198729638867
2022-03-01,2303.926692704298
2022-03-02,2275.0615282730237
2022-03-03,2204.9429003698992
2022-03-04,2184.104119059259
2022-03-05,2272.8539368143774
2022-03-06,2287.7213721842004
2022-03-07,2319.6893547551904
2022-03-08,2253.53984331603
2022-03-09,2285.8935414138823
2022-03-10,2293.7424357607533
2022-03-11,2311.2451200379865
2022-03-12,2345.3126847576978
2022-03-13,2345.2782718884096
2022-03-14,2351.6496386223284
2022-03-15,2356.276686128673
2022-03-16,2326.429468638662
2022-03-17,2272.464116945648
2022-03-18,2339.457081207637
2022-03-19,2305.7911200993694
2022-03-20,2379.113853291115
2022-03-21,2282.8816504301763
2022-03-22,2361.18021722138
2022-03-23,2317.7127781434533
2022-03-24,2340.535183813966
2022-03-25,2315.646860463516
2022-03-26,2318.075450990566
2022-03-27,2289.194196062218
2022-03-28,2330.287087798342
2022-03-29,2294.828523234771
2022-03-30,2364.126975024465
2022-03-31,2416.5305206314442
2022-04-01,2321.7261809579995
2022-04-02,2285.5355459169277
2022-04-03,2381.563180748093
2022-04-04,2317.8779316518585
2022-04-05,2453.5981676616966
2022-04-06,2338.7872329386814
2022-04-07,2474.048995539808
2022-04-08,2368.314695690134
2022-04-09,2285.3533088537065
2022-04-10,2391.094810113482
2022-04-11,2313.8577092090054
2022-04-12,2327.906009379443
